Age,Parameter,Hx_P21_mean,Hx_P21_median,Hx_P21_SE,Nx_P21_mean,Nx_P21_median,Nx_P21_SE,Difference,CI_low,CI_high,t_stat,p_value,Cohens_d,p_adjusted,Significant,Hx_P90_mean,Hx_P90_median,Hx_P90_SE,Nx_P90_mean,Nx_P90_median,Nx_P90_SE,Hx_P365_mean,Hx_P365_median,Hx_P365_SE,Nx_P365_mean,Nx_P365_median,Nx_P365_SE,p_adjusted_global,Significant_global,Effect_size
P21,AmRefRfw,115.57228207026098,115.18558336746293,0.44929470474660044,125.66134037746153,125.39505004882812,0.4508394999820569,-10.089058307200546,-11.336582504631108,-8.841534109769983,-15.85103865948357,5.3667343043629646e-46,-1.4277649037368039,1.3416835760907412e-45,True,,,,,,,,,,,,,4.025050728272223e-45,True,large
P21,Cvs,0.15038924280268656,0.142625617980957,0.0037547120844409103,0.2218706410970111,0.2192845155703937,0.003261644503492283,-0.07148139829432454,-0.0812295539498568,-0.06173324263879228,-14.372312630991356,3.251025384016376e-39,-1.2955119362907779,5.4183756400272936e-39,True,,,,,,,,,,,,,1.219134519006141e-38,True,large
P21,Rap,120.91467827459657,126.76616668701172,2.1419954296223516,76.45198483180056,72.1404154340113,1.7697409026716728,44.46269344279601,39.016810505126145,49.908576380465874,16.002341612059652,2.2951619874303033e-46,1.4427991153729,1.1475809937151516e-45,True,,,,,,,,,,,,,3.442742981145455e-45,True,large
P21,sfact,0.6504604641535185,0.6632598876953125,0.013002132671643503,0.5975198642456149,0.586126708984375,0.014577791953679047,0.052940599907903674,0.01465444573413268,0.09122675408167466,2.7102115127190642,0.006961883201567452,0.24398270782060355,0.008702354001959315,True,,,,,,,,,,,,,0.011603138669279088,True,small
P21,c3,0.022884205486551856,0.0219477123260498,0.0008550626879458066,0.02043030193770333,0.0182478517260819,0.0009208844711003356,0.002453903548848526,-9.12357825940801e-06,0.00491693067595646,1.9527397416002326,0.05142053068680187,0.1758279604482212,0.05142053068680187,False,,,,,,,,,,,,,0.07011890548200256,False,negligible
P90,AmRefRfw,,,,,,,25.936832590279664,22.567626173337622,29.306039007221706,15.088476509280813,9.092262755999147e-42,1.3823038356399648,4.546131377999573e-41,True,350.4071611926069,350.05645751953125,1.3827625052147972,324.47032860232724,322.86548614501953,1.021210040608955,,,,,,,4.546131377999573e-41,True,large
P90,Cvs,,,,,,,-0.17433809544900408,-0.2029048111096676,-0.14577137978834057,-11.961566430633605,1.859937234082313e-28,-1.1102381181495975,4.649843085205782e-28,True,0.3150790191468256,0.2956546084642867,0.00829396558838295,0.4894171145958297,0.4767816093385677,0.01198484589043557,,,,,,,5.5798117022469395e-28,True,large
P90,Rap,,,,,,,1.934842161593922,0.685007379822717,3.184676943365127,3.034233557934623,0.0025463404472295245,0.2798632315497004,0.004243900745382541,True,16.650856306215896,16.148862280610768,0.44109249748024243,14.716014144621974,14.879718780517578,0.46050132117073445,,,,,,,0.004774388338555358,True,small
P90,sfact,,,,,,,0.030321853782621977,-0.005074144903864264,0.06571785246910822,1.679026884940784,0.0938286817877685,0.1550864887922256,0.0938286817877685,False,0.7174828036261565,0.7403853729054736,0.012023060422789085,0.6871609498435345,0.7083750964760047,0.013475166374370984,,,,,,,0.10826386360127134,False,negligible
P90,c3,,,,,,,0.002323237496631596,-0.00017908745961165004,0.004825562452874842,1.8197258841370427,0.06943951683600315,0.16771860531466462,0.08679939604500393,False,0.02236895076158065,0.0201221624281762,0.0008998848607754633,0.020045713264949055,0.01775907602310175,0.0009056273798146738,,,,,,,0.08679939604500393,False,negligible
P365,AmRefRfw,,,,,,,18.72852679245085,14.215137379370375,23.241916205531325,8.133114418804341,4.532297228519507e-15,0.7622817300492948,1.1330743071298767e-14,True,,,,,,,475.310392077692,476.9893646240234,1.794717296791521,456.5818652852411,452.92701721191406,1.442791047929763,9.712065489684658e-15,True,medium
P365,Cvs,,,,,,,-0.23283420282314782,-0.2874174309987495,-0.1782509746475461,-8.360719085086233,1.1881224775788824e-15,-0.7864923166003488,5.9406123878944116e-15,True,,,,,,,0.8683354511519903,0.8906455993652344,0.023387418683384058,1.101169653975138,1.1097052996099501,0.015118610339713005,2.9703061939472058e-15,True,medium
P365,Rap,,,,,,,0.6582269512570047,0.00012430248164951863,1.3163296000323599,1.9603702049588865,0.05055982677925542,0.182935171184341,0.0842663779654257,False,,,,,,,8.671789281508502,8.76803970336914,0.23498077691749372,8.013562330251498,7.917947528228316,0.23984011923319143,0.07011890548200256,False,negligible
P365,sfact,,,,,,,0.00803542088022946,-0.02779793354508389,0.04386877530554281,0.43951857641672676,0.6604936304189101,0.041013159477676815,0.6604936304189101,False,,,,,,,0.678174408097073,0.6636291503906251,0.01278391137461111,0.6701389872168435,0.69217529296875,0.013069620091640744,0.6604936304189101,False,negligible
P365,c3,,,,,,,0.001597723481782852,-0.0009191318566612945,0.004114578820226998,1.244226466440548,0.21405942309019124,0.11626967823683046,0.26757427886273905,False,,,,,,,0.023137918203017242,0.0224669450759887,0.000932671264781095,0.02154019472123439,0.0195215295822637,0.0008826451502335155,0.22934938188234777,False,negligible
